config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
intphys2__jepa_v1__linear__layer_32,intphys2__jepa_v1__linear__layer_32__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,32,Final layer,42,source_csv,complete,voe_accuracy,voe_accuracy,64.238411,77.81457,47.058824,63.72549,47.058824,62.254902,,2000,,true,,,results/verified_layerwise_probe_configs.csv,14,intphys_primary_db.xlsx,V-JEPA,N3:X3,seed 42 read from source CSV metrics
intphys2__jepa_v1__linear__layer_8,intphys2__jepa_v1__linear__layer_8__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,8,Layer 0.25,42,source_csv,complete,voe_accuracy,voe_accuracy,19.86755,52.152318,25.490196,54.411765,13.72549,50.980392,,100,,true,,,results/verified_layerwise_probe_configs.csv,15,intphys_primary_db.xlsx,V-JEPA,N4:X4,seed 42 read from source CSV metrics
intphys2__jepa_v1__linear__layer_16,intphys2__jepa_v1__linear__layer_16__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,16,Layer 0.5,42,source_csv,complete,voe_accuracy,voe_accuracy,57.615894,75.165563,47.058824,60.294118,37.254902,59.313725,,2000,,true,,,results/verified_layerwise_probe_configs.csv,16,intphys_primary_db.xlsx,V-JEPA,N5:X5,seed 42 read from source CSV metrics
intphys2__jepa_v1__linear__layer_24,intphys2__jepa_v1__linear__layer_24__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,24,Layer 0.75,42,source_csv,complete,voe_accuracy,voe_accuracy,61.589404,67.218543,49.019608,63.235294,50.980392,59.313725,,100,,true,,,results/verified_layerwise_probe_configs.csv,17,intphys_primary_db.xlsx,V-JEPA,N6:X6,seed 42 read from source CSV metrics
intphys2__jepa_v1__mlp__layer_32,intphys2__jepa_v1__mlp__layer_32__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,32,Final layer,42,source_csv,complete,voe_accuracy,voe_accuracy,100,99.503311,54.901961,71.078431,45.098039,66.176471,,2000,,true,,,results/verified_layerwise_probe_configs.csv,18,intphys_primary_db.xlsx,V-JEPA,N7:X7,seed 42 read from source CSV metrics
intphys2__jepa_v1__mlp__layer_8,intphys2__jepa_v1__mlp__layer_8__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,8,Layer 0.25,42,source_csv,complete,voe_accuracy,voe_accuracy,33.112583,50.827815,21.568627,51.960784,15.686275,52.45098,,50,,true,,,results/verified_layerwise_probe_configs.csv,19,intphys_primary_db.xlsx,V-JEPA,N8:X8,seed 42 read from source CSV metrics
intphys2__jepa_v1__mlp__layer_16,intphys2__jepa_v1__mlp__layer_16__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,16,Layer 0.5,42,source_csv,complete,voe_accuracy,voe_accuracy,94.701987,94.205298,45.098039,63.235294,45.098039,65.196078,,2000,,true,,,results/verified_layerwise_probe_configs.csv,20,intphys_primary_db.xlsx,V-JEPA,N9:X9,seed 42 read from source CSV metrics
intphys2__jepa_v1__mlp__layer_24,intphys2__jepa_v1__mlp__layer_24__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,24,Layer 0.75,42,source_csv,complete,voe_accuracy,voe_accuracy,63.576159,67.880795,56.862745,63.72549,45.098039,63.72549,,100,,true,,,results/verified_layerwise_probe_configs.csv,21,intphys_primary_db.xlsx,V-JEPA,N10:X10,seed 42 read from source CSV metrics
intphys2__jepa_v2__linear__layer_40,intphys2__jepa_v2__linear__layer_40__seed_42,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Linear,linear,40,Final layer,42,source_csv,complete,voe_accuracy,voe_accuracy,60.927152,60.099338,39.215686,57.843137,41.176471,58.823529,,100,,true,,,results/verified_layerwise_probe_configs.csv,38,intphys_primary_db.xlsx,V-JEPA 2,N3:X3,seed 42 read from source CSV metrics
intphys2__jepa_v2__linear__layer_10,intphys2__jepa_v2__linear__layer_10__seed_42,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Linear,linear,10,Layer 0.25,42,source_csv,complete,voe_accuracy,voe_accuracy,21.192053,50.496689,23.529412,53.431373,13.72549,49.019608,,100,,true,,,results/verified_layerwise_probe_configs.csv,39,intphys_primary_db.xlsx,V-JEPA 2,N4:X4,seed 42 read from source CSV metrics
